catalogue,source_file,ws,Technology,cat,par,unit,est,year,val,note,note_text,ref,ref_text
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Forced outage [%],%,Lower,2050,0,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Forced outage [%],%,Upper,2050,0,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Planned outage [weeks/year],weeks/year,ctrl,2020,1,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Planned outage [weeks/year],weeks/year,ctrl,2025,1,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Planned outage [weeks/year],weeks/year,ctrl,2030,1,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Planned outage [weeks/year],weeks/year,ctrl,2035,1,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Planned outage [weeks/year],weeks/year,ctrl,2040,1,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Planned outage [weeks/year],weeks/year,ctrl,2050,1,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Planned outage [weeks/year],weeks/year,Lower,2020,1,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Planned outage [weeks/year],weeks/year,Upper,2020,1,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Planned outage [weeks/year],weeks/year,Lower,2050,1,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Planned outage [weeks/year],weeks/year,Upper,2050,1,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Technical lifetime [years],years,ctrl,2020,20,D,,24,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Technical lifetime [years],years,ctrl,2025,30,D,,24,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Technical lifetime [years],years,ctrl,2030,30,D,,24,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Technical lifetime [years],years,ctrl,2035,30,D,,24,
